2019-03-07 07:16:04,284 p=4668 u=root |  PLAY [This playbook will install nginx web server, configures it and deploy a web page in it.] *********************************
2019-03-07 07:18:41,118 p=4668 u=root |  changed: [centos5]
2019-03-07 07:18:42,376 p=4668 u=root |  changed: [ubuntu3]
2019-03-07 07:18:42,379 p=4668 u=root |  changed: [ubuntu2]
2019-03-07 07:18:42,381 p=4668 u=root |  changed: [ubuntu1]
2019-03-07 07:18:42,469 p=4668 u=root |  changed: [ubuntu4]
2019-03-07 07:18:42,474 p=4668 u=root |  changed: [ubuntu5]
2019-03-07 07:18:42,483 p=4668 u=root |  TASK [Deploy a custom web page inside nginx web server] ************************************************************************
2019-03-07 07:18:43,763 p=4668 u=root |  changed: [centos2]
2019-03-07 07:18:43,812 p=4668 u=root |  changed: [centos1]
2019-03-07 07:18:43,905 p=4668 u=root |  changed: [centos3]
2019-03-07 07:18:44,149 p=4668 u=root |  changed: [centos5]
2019-03-07 07:18:44,154 p=4668 u=root |  changed: [centos4]
2019-03-07 07:18:44,503 p=4668 u=root |  changed: [ubuntu2]
2019-03-07 07:18:44,508 p=4668 u=root |  changed: [ubuntu1]
2019-03-07 07:18:44,616 p=4668 u=root |  changed: [ubuntu3]
2019-03-07 07:18:44,733 p=4668 u=root |  changed: [ubuntu4]
2019-03-07 07:18:44,742 p=4668 u=root |  changed: [ubuntu5]
2019-03-07 07:18:44,746 p=4668 u=root |  PLAY RECAP *********************************************************************************************************************
2019-03-07 07:18:44,746 p=4668 u=root |  centos1                    : ok=7    changed=6    unreachable=0    failed=0   
2019-03-07 07:18:44,746 p=4668 u=root |  centos2                    : ok=7    changed=6    unreachable=0    failed=0   
2019-03-07 07:18:44,746 p=4668 u=root |  centos3                    : ok=7    changed=6    unreachable=0    failed=0   
2019-03-07 07:18:44,746 p=4668 u=root |  centos4                    : ok=7    changed=6    unreachable=0    failed=0   
2019-03-07 07:18:44,746 p=4668 u=root |  centos5                    : ok=7    changed=6    unreachable=0    failed=0   
2019-03-07 07:18:44,747 p=4668 u=root |  ubuntu1                    : ok=6    changed=5    unreachable=0    failed=0   
2019-03-07 07:18:44,747 p=4668 u=root |  ubuntu2                    : ok=6    changed=5    unreachable=0    failed=0   
2019-03-07 07:18:44,747 p=4668 u=root |  ubuntu3                    : ok=6    changed=5    unreachable=0    failed=0   
2019-03-07 07:18:44,747 p=4668 u=root |  ubuntu4                    : ok=6    changed=5    unreachable=0    failed=0   
2019-03-07 07:18:44,747 p=4668 u=root |  ubuntu5                    : ok=6    changed=5    unreachable=0    failed=0   
